id,name,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"6a8aUhYbaQBUI8PcJ5ZmQ6","closure","evermore (deluxe version)",9,0,0,0,0,0
"6Wlq9rqkxrqj5Kls4Kw14H","evermore (feat. Bon Iver)","evermore (deluxe version)",9,0,0,0,0,0
"3zwMVvkBe2qIKDObWgXw4N","right where you left me - bonus track","evermore (deluxe version)",9,0,0,1,0,0
"1kdWw77ZpYOkhxeuhzU1j6","it’s time to go - bonus track","evermore (deluxe version)",9,0,0,1,0,0
"77sMIMlNaSURUAXq5coCxE","Fearless (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"2nqio0SfWg6gh2eCtfuMa5","Fifteen (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"6YvqWjhGD8mB5QXcbcUKtx","Love Story (Taylor’s Version)","Fearless (Taylor's Version)",10,0,1,0,0,1
"550erGcdD9n6PnwxrvYqZT","Hey Stephen (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"5YL553x8sHderRBDlm3NM3","White Horse (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"1qrpoAMXodY6895hGKoUpA","You Belong With Me (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"7HC7R2D8WjXVcUHJyEGjRs","Breathe (feat. Colbie Caillat) (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"0k0vFacOHNuArLWMiH60p7","Tell Me Why (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"6iiAfo4wTA2CVC3Uwx9uh8","You’re Not Sorry (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"22bPsP2jCgbLUvh82U0Z3M","The Way I Loved You (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"1msEuwSBneBKpVCZQcFTsU","Forever & Always (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"6ON9UuIq49xXY9GPmHIYRp","The Best Day (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"3ExweHKZF9B752DPQByRVT","Change (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"2m3ObD945KvpE5y9A1eUWm","Jump Then Fall (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"0tQ9vBYpldCuikPsbgOVKA","Untouchable (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"01QdEx6kFr78ZejhQtWR5m","Forever & Always (Piano Version) (Taylor’s Version)","Fearless (Taylor's Version)",10,1,0,0,0,1
"1n2wszmJyVkw6FHqyLnQsY","Come In With The Rain (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"51A8eKvvZz9uydvIZ7xRSV","Superstar (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
"1cSFlSBdpT4F5vb1frQ231","The Other Side Of The Door (Taylor’s Version)","Fearless (Taylor's Version)",10,0,0,0,0,1
