id,name,peak,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"3RauEVgRgj1IuWdJ9fDs70","The Man",23,"Lover",7,0,1,0,0,0
"3pHkh7d0lzM2AldUtz2x37","The Archer",38,"Lover",7,0,0,0,0,0
"2YWtcWi3a83pdEg3Gif4Pd","I Think He Knows",51,"Lover",7,0,0,0,0,0
"214nt20w5wOxJnY462klLw","Miss Americana & The Heartbreak Prince",49,"Lover",7,0,0,0,0,0
"4y5bvROuBDPr5fuwXbIBZR","Paper Rings",45,"Lover",7,0,0,0,0,0
"12M5uqx0ZuwkpLp5rJim1a","Cornelia Street",57,"Lover",7,0,0,0,0,0
"2dgFqt3w9xIQRjhPtwNk3D","Death By A Thousand Cuts",67,"Lover",7,0,0,0,0,0
"1LLXZFeAHK9R4xUramtUKw","London Boy",62,"Lover",7,0,0,0,0,0
"4AYtqFyFbX0Xkc2wtcygTr","Soon You'll Get Better",63,"Lover",7,0,0,0,0,0
"5hQSXkFgbxjZo9uCwd11so","False God",77,"Lover",7,0,0,0,0,0
"6RRNNciQGZEXnqk8SQ9yv5","You Need To Calm Down",2,"Lover",7,0,1,0,0,0
"1SymEzIT3H8UZfibCs3TYi","Afterglow",75,"Lover",7,0,0,0,0,0
"2Rk4JlNc2TPmZe2af99d45","ME!",2,"Lover",7,0,1,0,0,0
"1SmiQ65iSAbPto6gPFlBYm","It's Nice To Have A Friend",92,"Lover",7,0,0,0,0,0
"1fzAuUVbzlhZ1lJAx9PtY6","Daylight",89,"Lover",7,0,0,0,0,0
"4pfrrhvplbJZAIsfosGWQP","the 1",4,"folklore (deluxe version)",8,0,0,0,0,0
"0KRYCBwIpWYFNrXOmXbyUh","cardigan",1,"folklore (deluxe version)",8,0,1,0,0,0
"2olxzvoFI9IpxqFeUv7WOX","the last great american dynasty",13,"folklore (deluxe version)",8,0,0,0,0,0
"5S4aYQAJOwJMAamANWlICO","exile",6,"folklore (deluxe version)",8,0,1,0,0,0
"5P2bHCDM2tsgIaYWsZMhu5","my tears ricochet",16,"folklore (deluxe version)",8,0,0,0,0,0
"2I8YAEA1VmCuP1wkJHMpTw","mirrorball",26,"folklore (deluxe version)",8,0,0,0,0,0
"76mOLcXOjOEhyY4mMF1l3r","seven",35,"folklore (deluxe version)",8,0,0,0,0,0
"6nK2pIKFcRc5frrZKHgsiT","august",23,"folklore (deluxe version)",8,0,0,0,0,0
"7cm50Lw03k6VvRauJtkyTj","this is me trying",39,"folklore (deluxe version)",8,0,0,0,0,0
"6DrLROM5MG9bxWHeEG5elq","illicit affairs",44,"folklore (deluxe version)",8,0,0,0,0,0
"2ehRU518I0hYqMGQnk4lDY","invisible string",37,"folklore (deluxe version)",8,0,0,0,0,0
"0RP1kqoSPkVXsKiQNhMKzV","mad woman",47,"folklore (deluxe version)",8,0,0,0,0,0
"1EXa37LpSvi3OQ9UYQ28rD","epiphany",57,"folklore (deluxe version)",8,0,0,0,0,0
"3IhtE4fkytdrtEfV34UzkD","betty",42,"folklore (deluxe version)",8,0,1,0,0,0
